g E0 Ep1 Epair duration
0.03 29.82 30 -0.18 459514
0.04 29.76 30 -0.24 472399
0.05 29.7 30 -0.3 470301
0.06 29.64 30 -0.36 468273
0.07 29.58 30 -0.42 474167
0.08 29.52 30 -0.48 469447
0.09 29.46 30 -0.54 483960
0.1 29.4 30 -0.6 469195
0.11 29.34 30 -0.66 472888
0.12 29.28 30 -0.72 471602
0.13 29.22 30 -0.78 470432
0.14 29.16 30 -0.84 471429
0.15 29.1 30 -0.9 471777
0.16 29.04 30 -0.96 465563
0.17 28.98 30 -1.02 472700
0.18 28.92 30 -1.08 471599
0.19 28.86 30 -1.14 471515
0.2 28.8 30 -1.20001 473050
0.21 28.74 30 -1.26001 473637
0.22 28.68 30 -1.32001 475548
0.23 28.62 30 -1.38001 472566
0.24 28.56 30 -1.44001 478279
0.25 28.5 30 -1.50001 471818
0.26 28.44 30 -1.56001 490047
0.27 28.38 30 -1.62001 472181
0.28 28.32 30 -1.68001 475320
0.29 28.26 30 -1.74004 475167
0.3 28.2 30.0001 -1.80013 490253
0.31 28.14 30.0019 -1.86184 477455
0.32 28.0796 30.0747 -1.99509 490708
0.33 28.0153 30.2248 -2.20948 479747
0.34 27.9462 30.3794 -2.43314 477189
0.35 27.8726 30.5361 -2.66355 477187
0.36 27.7943 30.6956 -2.90126 477662
0.37 27.7116 30.8582 -3.14655 479437
0.39 27.5329 31.1924 -3.65944 467771
0.4 27.437 31.3652 -3.92818 469311
0.41 27.3367 31.5423 -4.2056 476616
0.42 27.232 31.7238 -4.49175 482905
0.43 27.1229 31.9096 -4.78671 481744
0.45 26.8917 32.2931 -5.40139 446472
0.46 26.7696 32.4904 -5.72083 448777
0.47 26.6431 32.6928 -6.04975 449726
0.48 26.5123 32.8976 -6.38534 448788
0.5 26.2377 33.3185 -7.08071 441943
0.52 25.9461 33.7492 -7.80309 439157
0.53 25.794 33.9695 -8.17551 444128
0.54 25.6378 34.1903 -8.55254 442889
0.55 25.4774 34.4128 -8.9354 452234
0.56 25.3129 34.6367 -9.32373 457072
0.57 25.1445 34.8631 -9.71866 453494
0.58 24.9721 35.0889 -10.1168 442082
0.59 24.7957 35.3153 -10.5195 463952
0.6 24.6156 35.5421 -10.9265 446653
0.61 24.4316 35.769 -11.3374 449869
0.62 24.2439 35.9975 -11.7536 438591
0.63 24.0526 36.2241 -12.1715 447367
0.64 23.8576 36.4503 -12.5927 446918
0.65 23.6591 36.676 -13.0168 447951
0.66 23.4572 36.9009 -13.4437 445151
0.67 23.2519 37.125 -13.8732 440288
0.68 23.0431 37.3482 -14.305 438849
0.7 22.616 37.7923 -15.1763 442641
0.71 22.3977 38.0117 -15.614 446749
0.72 22.1762 38.2297 -16.0534 459622
0.73 21.9518 38.4462 -16.4944 450966
0.74 21.7244 38.6612 -16.9368 444615
0.75 21.4941 38.8745 -17.3804 441681
0.76 21.261 39.0862 -17.8252 451624
0.77 21.0251 39.2977 -18.2726 458264
0.78 20.7864 39.5057 -18.7193 447566
0.79 20.5452 39.712 -19.1668 439892
0.8 20.3013 39.9164 -19.6151 447216
0.82 19.8059 40.3195 -20.5136 436432
0.83 19.5546 40.5182 -20.9636 437943
